Sr no.,File name,Query,Response,Summary,,,,,,,,
1078,c2287235.wav,Caller and NSE staff exchange greetings.,Staff responds with greetings and offers assistance.,Brief exchange of professional greetings.,,,,,,,,
1079,c2287241.wav,Caller from After Credit and Securities reports DPD match status error and client ID mismatch in NSE portal.,"NSE staff explains error is depository-related, advises contacting depository for resolution, and suggests keeping NSE in CC.",Caller is guided to resolve DPD match status errors through depository communication.,,,,,,,,
1080,c2287246.wav,Internal discussion about staff location and extension verification.,Staff confirms extension and location details.,Brief internal communication about staff whereabouts.,,,,,,,,
1081,c2287278.wav,Caller from Zerodha inquires about API file format for reactivation and bulk client status updates.,"NSE staff explains API limitations, clarifies it's only for new UCC creation, and advises on manual reactivation process.",Caller is informed about API restrictions and guided to use manual process for dormant account activation.,,,,,,,,
1082,c2287282.wav,Internal discussion about call routing and extension sharing.,Staff discusses extension numbers and call handling procedures.,Internal coordination about call management and extensions.,,,,,,,,
1083,c2287308.wav,Caller seeks help closing unwanted Kotak Securities trading account opened during KYC process.,NSE staff advises contacting Kotak Securities customer support directly for account closure.,Caller is directed to broker for unwanted account closure.,,,,,,,,
1084,c2287314.wav,Caller requests circular number regarding PNP out delivery restrictions.,NSE staff attempts to locate circular but experiences connection issues.,Call disconnected while staff was searching for circular information.,,,,,,,,
1085,c2287361.wav,Caller inquires about negative net across exchange balance in NSE alerts.,"NSE staff explains alerts are due to active demat account, advises checking with broker for balance details.",Caller is guided to verify account status and charges with broker.,,,,,,,,
1086,c2287362.wav,Technical call checking audio connectivity.,Staff and caller verify audio connection.,Brief audio connection test.,,,,,,,,
1087,c2287363.wav,Technical call checking audio connectivity.,Staff and caller verify audio connection.,Brief audio connection test.,,,,,,,,
1088,c2287372.wav,Caller inquires about joint account setup and multiple bank account mapping for fund transfers.,"NSE staff explains primary account requirement, advises checking with inspection department for multiple bank accounts.",Caller is informed about banking restrictions for joint trading accounts.,,,,,,,,
1089,c2287378.wav,Caller seeks help locating quarterly financial results on NSE website.,NSE staff attempts to guide caller through website navigation but experiences difficulties.,Call ends without resolution of financial report search query.,,,,,,,,
1090,c2287381.wav,Internal discussion about lunch break timing.,Staff coordinates lunch schedule.,Brief internal discussion about break timing.,,,,,,,,
1091,c2287385.wav,Internal discussion about joint account requirements and bank account verification.,Staff discusses policy for joint demat accounts and bank account linkage.,Internal clarification of joint account procedures.,,,,,,,,
1092,c2287397.wav,Caller reports missing bulk client status update option in UCI portal.,NSE staff confirms issue resolution and guides caller to clear cache and cookies.,Caller is advised on restoring portal functionality through browser refresh.,,,,,,,,
1093,c2287417.wav,Caller seeks clarification about court-related undertaking and document submission process.,NSE staff explains notarization requirements and document submission procedure.,Caller is guided on undertaking form processing and submission.,,,,,,,,
1094,c2287426.wav,Caller seeks help with physical shares after company merger from SR Oil to Naira Energy.,NSE staff attempts to verify share status and buyback process.,Call placed on hold while investigating share transfer status.,,,,,,,,
1095,c2287428.wav,Caller seeks information about SIP investment status.,NSE staff explains need to contact bank or investment provider directly.,Caller is redirected to relevant authority for SIP status inquiry.,,,,,,,,
1096,c2287435.wav,Caller reports invalid segment error during UCC file upload.,NSE staff attempts to troubleshoot file format and parameter issues.,Caller is advised to share error screenshots for backend team review.,,,,,,,,
1097,c2287452.wav,Caller inquires about Karvy claim document status and processing timeline.,NSE staff verifies courier receipt and explains processing timeline of 20-25 days.,Caller receives confirmation of document receipt and timeline for claim processing.,,,,,,,,
1098,c2287459.wav,Brief audio connectivity check.,Staff and caller verify connection.,Technical call verification.,,,,,,,,
1099,c2287464.wav,Caller seeks guidance on misplaced physical shares of Nayara Energy (formerly ESSAR Oil).,NSE staff provides SEBI SCORES portal information for complaint filing.,Caller is guided to file complaint through SEBI SCORES for misplaced shares.,,,,,,,,
1100,c2287466.wav,Caller seeks clarification about document submission requirements.,NSE staff explains undertaking form process and additional document needs.,Caller receives guidance on required documentation and submission process. 1101,c2287469.wav,"Caller inquires about Manan Parmar and discusses a client who is at a restaurant, seeking clarification on what action to take.","NSE staff checks if Manan Parmar has called, confirms the client's location, and coordinates a response.",Caller seeks guidance regarding a client at a restaurant; NSE staff verifies the situation and coordinates next steps.,,,,
1102,c2287471.wav,"Caller asks about an NSE Alert email, NFC clearance, and how to open a password-protected PDF.","NSE staff explains the purpose of the NSE Alert, clarifies the role of brokers, and instructs the caller to use their PAN card as the PDF password.",Caller is guided on understanding NSE Alert emails and accessing secure documents using their PAN card as a password.,,,,,,,,
1103,c2287474.wav,Caller wants to know the process for sending an indemnity letter for a cardway default and whether to include a reference number.,"NSE staff explains the process, confirms the address, and clarifies that the PAN number is sufficient for identification; reference number is not required.","Caller is advised on sending an indemnity letter for a default, with emphasis on using the PAN number for identification.",,,,,,,,
1104,c2287486.wav,Caller requests to speak with Srishti Tyagi regarding an arbitration matter and seeks clarification on the process.,"NSE staff connects the caller to the appropriate person, who assures a reply by email and discusses the need for an undertaking and clarification on interest rates.",Caller is connected to the arbitration team and informed about the process and expected follow-up via email.,,,,,,,,
1105,c2287490.wav,Internal discussion about calls received regarding TMCM mapping and issues with PAN details and communication with NCIL.,"Staff coordinate on how to handle client queries, share updates, and plan to inform clients once communication is received from NCIL.",NSE staff discuss internal handling of TMCM mapping issues and plan coordinated client communication.,,,,,,,,
1106,c2287495.wav,"Caller from the media attempts to discuss issues, but the call is hampered by poor voice quality.",NSE staff repeatedly informs the caller that their voice is breaking and is unable to proceed with the conversation.,Media caller's query is not addressed due to persistent call quality issues.,,,,,,,,
1107,c2287496.wav,"Caller inquires about the process, rules, and fees for obtaining an NSE trading membership.",NSE staff directs the caller to the NSE website for detailed information and suggests visiting a regional service center for specifics.,Caller is guided to official resources for trading membership details and advised to visit a service center for further assistance.,,,,,,,,
1108,c2287500.wav,Caller from IDBI Bank seeks contact details for the bill section regarding GST and billing queries.,NSE staff provides relevant contact numbers and email addresses for the finance and accounts departments handling trading and listing bills.,Caller receives contact information for finance and accounts queries related to billing and GST.,,,,,,,,
1109,c2287508.wav,Caller reports receiving an NSE Alert showing a negative balance and seeks clarification.,NSE staff explains the alert is due to the Demat account being open with a registered broker and advises contacting the broker for details.,Caller is informed that negative balance alerts are broker-related and is advised to contact the broker for clarification.,,,,,,,,
1110,c2287509.wav,"Caller expresses concerns about insider trading and manipulation in the share market, referencing specific trading patterns.","NSE staff listens to the caller's concerns and asks for clarification on the caller's location, but does not provide a direct resolution.",Caller voices suspicions about market manipulation; NSE staff acknowledges but does not resolve the issue.,,,,,,,,
1111,c2287515.wav,Caller asks about a UCC code showing a frozen DP account status and the implications for payouts.,"NSE staff explains the frozen status, the payout process, and advises coordination with the depository and CDSL for resolution.",Caller is informed about the impact of a frozen DP account and advised to coordinate with the depository for resolution.,,,,,,,,
1112,c2287522.wav,"Caller seeks clarification on filling out an indemnity/undertaking form, specifically about the 'signed and delivered by' section.",NSE staff confirms that the claimant's name and signature should be used and provides guidance on witness details.,Caller receives step-by-step instructions for correctly filling out an indemnity form.,,,,,,,,
1113,c2287535.wav,Caller inquires about the status of a courier using a POD ID and seeks information on the sender.,NSE staff advises the caller to check back when the courier arrives and offers to provide information at that time.,Caller is told to follow up later for courier status; staff offers to assist when the courier is received.,,,,,,,,
1114,c2287545.wav,Internal call between regulatory help desk staff regarding team assignments.,Staff confirm team assignments and regulatory responsibilities.,Regulatory help desk staff coordinate on team roles and assignments.,,,,,,,,
1115,c2287573.wav,Caller received an NSE Alert email but cannot find the broker's name and seeks assistance.,NSE staff guides the caller to locate the broker's name in the third paragraph of the email and confirms the Demat account is with Upstox.,Caller is helped to identify their broker from an NSE Alert email and is advised to contact the broker for further queries.,,,,,,,,
1116,c2287580.wav,Caller describes being defrauded via a Telegram group and requests help recovering funds and unfreezing accounts.,"NSE staff explains NSE has no association with social media groups, advises filing a cybercrime complaint, and provides guidance on future investments.",Caller is advised to stop interacting with fraudulent groups and to file a cybercrime complaint for recovery.,,,,,,,,
1117,c2287582.wav,Internal update about providing access to Amita and confirming after lunch.,Staff agree to inform Amita after lunch and confirm access has been provided.,Internal staff coordinate on access permissions and confirmation.,,,,,,,,
1118,c2287585.wav,Caller asks how to check the status of a newly created Demat account and view transactions.,NSE staff explains that account status and transactions must be checked via the broker's app and clarifies there is no NSE platform for this purpose.,"Caller is informed that Demat account status and transactions are managed through the broker's application, not NSE.",,,,,,,,
1119,c2287590.wav,"Internal discussion about task IDs, case closures, and communication with investors regarding trade data and case status.","Staff coordinate on closing cases, updating investors, and ensuring proper communication and documentation.",NSE staff discuss internal processes for case closure and investor communication.,,,,,,,,
1120,c2287592.wav,Caller requests help with releasing an NISM certificate due to a family medical emergency and inability to serve notice period.,NSE staff advises the caller to email IGNSE with details and to forward previous correspondence for assistance.,Caller is guided to email NSE with supporting documents to request early release of an NISM certificate.,,,,,,,,
1121,c2287604.wav,Caller received an NSE Alert but has no account and seeks clarification on the mail and account closure process.,NSE staff explains the alert is due to a previously opened Demat account and advises contacting the broker to confirm closure.,Caller is informed about the reason for NSE Alert emails and advised to confirm account closure with the broker.,,,,,,,,
1122,c2287634.wav,Internal discussion about adding funds to an account and clarifying AMC charges and compliance contacts.,Staff direct the caller to contact Tejas Tripanna from Exchange Compliance for further assistance.,Internal staff coordinate on compliance contacts and clarify AMC charges for account funding.,,,,,,,,
1123,c2287646.wav,Internal call about closing a case after process communication and email attachments.,"Staff confirm process communication, email attachments, and case closure.",Internal staff confirm case closure after process communication and documentation.,,,,,,,,
1124,c2287647.wav,Internal call requesting to contact Tejas on his mobile as he is not at his place.,Staff agree to call Tejas on his mobile for further coordination.,Internal staff coordinate to reach a colleague via mobile for assistance.,,,,,,,,
1125,c2287653.wav,"Internal discussion about pending IAC cases, inspection team follow-ups, and case closure processes.","Staff discuss case status, inspection team reminders, and the importance of proper resolution and documentation.","NSE staff review pending cases, inspection follow-ups, and emphasize thorough case resolution and documentation. 1126",c2287658.wav,"Caller checks if a call was made and discusses responsibility for a courier, expressing sadness over being given responsibility.","Staff discuss missed calls, responsibility for a courier, and agree to update each other later.",Internal staff coordinate on courier responsibilities and update each other on missed calls.,,,,
1127,c2287661.wav,Caller requests information about CTCL and new terminal creation for a member code.,"NSE staff explains the process for new terminal creation, advises connecting with the trade team, and transfers the call.",Caller is guided on CTCL terminal creation and transferred to the appropriate team for further assistance.,,,,,,,,
1128,c2287675.wav,Caller asks about charges for buying and selling shares and is confused about where to get information.,NSE staff explains that charges are determined by the broker and advises the caller to contact their broker for details.,Caller is informed that share trading charges are broker-specific and should be clarified with the broker.,,,,,,,,
1129,c2287698.wav,Caller inquires about the status of two cases and payment after sending documents for asset allocation.,"NSE staff confirms receipt of documents, explains the queue-based payment process, and advises patience for a response.",Caller is informed that payment is processed in queue and to await further communication from the team.,,,,,,,,
1130,c2287703.wav,Caller reports an unexplained deduction from a Jupiter app account and seeks clarification on NSE clearance charges.,"NSE staff explains the deduction may be related to broker or AMC charges, requests a bank statement screenshot, and provides an email for follow-up.",Caller is advised to send a bank statement for review to clarify unexplained deductions marked as NSE clearance.,,,,,,,,
1131,c2287711.wav,Caller receives a message from a team member and seeks status on a POD number for a courier.,Staff coordinate on checking the POD number and confirm the process for tracking courier status.,Internal staff coordinate on tracking a courier using a POD number and confirm next steps.,,,,,,,,
1132,c2287719.wav,Caller wants to file an appeal against an arbitration award and asks about the time limit for filing.,"NSE staff explains the appeal must be filed in court under Section 34, with no strict time limit specified, and refers to previous email communication.",Caller is informed about the legal process for appealing an arbitration award and advised to refer to prior communications.,,,,,,,,
1133,c2287720.wav,Caller asks about transferring shares from a joint to a single account and issues with non-tradable shares and maintenance charges.,"NSE staff explains the shares are suspended, advises contacting the broking firm for transfer options, and clarifies maintenance charges.","Caller is informed about suspended shares, maintenance charges, and advised to consult the broking firm for transfer options.",,,,,,,,
1134,c2287739.wav,Caller inquires about applying for a PAN in a bank and seeks contact information for Jio Bank.,"NSE staff clarifies the process, advises searching for Jio Bank contact details online, and confirms the caller's location.",Caller is guided to find Jio Bank contact information online for PAN application queries.,,,,,,,,
1135,c2287749.wav,Caller seeks clarification on addressing an undertaking form for CARBI and whether to include Investor Protection Fund in the address.,NSE staff confirms the address should be National Stock Exchange of India Limited and clarifies address details for the undertaking form.,Caller is advised on the correct address for sending an undertaking form and the use of reference numbers.,,,,,,,,
1136,c2287751.wav,"Caller missed an exam and is unable to register again, seeking help with the Aadhar Supervisor exam process.",NSE staff provides contact numbers for NSE Academy and advises the caller to reach out for exam-related queries.,Caller is guided to contact NSE Academy for assistance with exam registration and related queries.,,,,,,,,
1137,c2287765.wav,Caller receives SMS about a negative balance and seeks clarification on the reason and next steps.,NSE staff explains the negative balance is broker-related and advises contacting IIFL Securities for clarification.,Caller is informed that negative balance SMS are broker-related and is advised to contact the broker for details.,,,,,,,,
1138,c2287766.wav,Internal call about closing a task in the intervention team.,Staff agree to check and close the task as needed.,Internal staff coordinate on closing a task in the intervention team.,,,,,,,,
1139,c2287772.wav,Caller follows up on a previously resolved query and is advised to clear cache and cookies for login issues.,NSE staff confirms the issue was resolved earlier and provides troubleshooting steps for login problems.,Caller is advised to clear browser cache and cookies to resolve login issues after a previous query was addressed.,,,,,,,,
1140,c2287776.wav,Internal call about DEX numbers and workstation assignments.,Staff confirm DEX numbers and workstation assignments for coordination.,Internal staff coordinate on DEX numbers and workstation assignments.,,,,,,,,
1141,c2287778.wav,Caller seeks help with sending documents via email after investing through a Telegram channel.,NSE staff advises the caller to attach multiple documents to an email and provides guidance on the process.,Caller is guided on how to send multiple documents via email for a Telegram investment issue.,,,,,,,,
1142,c2287780.wav,Caller asks about registering a UCC for FCCP and the appropriate category to select.,NSE staff refers the caller to a circular for category selection and suggests contacting the inspection department for clarification.,Caller is advised to consult official circulars and the inspection department for UCC registration category selection.,,,,,,,,
1143,c2287805.wav,Caller asks about PAN reactivation and KYC requirements for a suspended account.,NSE staff advises dropping an email to UCI with the client code and clarifies the process for not reactivating the PAN.,Caller is guided on how to communicate non-reactivation of a suspended PAN via email to UCI.,,,,,,,,
1144,c2287807.wav,Caller asks about opening a password-protected PDF and closing an mStock account with a negative balance.,NSE staff explains the PDF password is the PAN card number and advises contacting the broker to close the account after clearing dues.,Caller is informed about accessing secure documents and the process for closing a Demat account with outstanding charges.,,,,,,,,
1145,c2287820.wav,Caller is confused by NSE Alert emails after opening an account with Groww and seeks clarification.,NSE staff explains the purpose of NSE Alert emails and advises contacting the broker for account-related queries.,Caller is informed about the purpose of NSE Alert emails and advised to contact the broker for further clarification.,,,,,,,,
1146,c2287824.wav,Caller asks about issues with buying and selling City Network Limited shares and concerns about inactive status.,NSE staff explains the stock is inactive due to losses and advises waiting for updates; caller is told to contact the broker for more details.,Caller is informed about inactive shares and advised to wait for updates or contact the broker for further information.,,,,,,,,
1147,c2287835.wav,Internal call about sharing a response to an investor grievance and case closure.,Staff coordinate on providing a response and closing the case.,Internal staff coordinate on investor grievance response and case closure.,,,,,,,,
1148,c2287841.wav,Internal call about a delayed email response and clarification on appeal timelines.,Staff discuss emailing the concerned department for clarification and agree to follow up via Teams.,Internal staff coordinate on clarifying appeal timelines and follow-up communication.,,,,,,,,
1149,c2287843.wav,Caller follows up on a Telegram investment fraud case and missing email attachments.,NSE staff advises the caller to resend attachments and to file a cybercrime complaint for resolution.,Caller is advised to resend missing email attachments and to file a cybercrime complaint for Telegram investment fraud.,,,,,,,,
1150,c2287847.wav,"Internal discussion about onboarding, employee codes, and review processes for Merica.","Staff coordinate on employee codes, review processes, and communication with supervisors.","Internal staff discuss onboarding, employee codes, and review processes for Merica. 1151",c2287850.wav,Caller asks about Minaray and the name of an officer in Jambu Kashmir DRM.,Staff confirm the officer's presence and offer to provide the name after checking.,Caller is assisted in identifying the relevant officer in Jambu Kashmir DRM.,,,,
1152,c2287869.wav,Caller receives NSE circular emails with attachments that cannot be opened and seeks clarification.,NSE staff explains the PDF password is the PAN card number and advises contacting the broker or depository for account closure.,Caller is guided on opening secure attachments and advised to contact the broker or depository for further assistance.,,,,,,,,
1153,c2287884.wav,Caller receives NSE messages about trade value and is confused about the reported amount despite not trading.,NSE staff explains the messages are standard alerts and advises contacting the broker for clarification on trade values.,Caller is informed that NSE messages are standard and should contact the broker for trade value discrepancies.,,,,,,,,
1154,c2287885.wav,Caller reports missing financial results for the fourth quarter on the NSE portal and seeks clarification.,"NSE staff checks the website, consults the listing team, and provides guidance on where to find integrated filings and financial results.",Caller is guided to the correct section of the NSE website for financial results and integrated filings.,,,,,,,,
1155,c2287905.wav,Caller reports a blocked status in their Upstox account and inability to place new orders.,NSE staff advises contacting the broker for account modifications and confirms that only the broker can resolve such issues.,"Caller is informed that account issues must be resolved by the broker, not NSE.",,,,,,,,
1156,c2287906.wav,Caller asks about the availability of broker activation data published by Moneycontrol and its source.,NSE staff confirms such data is confidential and not publicly available on the NSE website.,Caller is informed that broker activation data is confidential and not available to the public.,,,,,,,,
1157,c2287911.wav,Caller asks about Paytm transactions and missing messages from Airtel Payment Bank.,NSE staff advises checking the official website for contact details and to reach out to Airtel Payment Bank support.,Caller is guided to contact Airtel Payment Bank for transaction and message queries.,,,,,,,,
1158,c2287914.wav,Caller follows up on a claim against Allied Financial Services and seeks case status and response timeline.,"NSE staff confirms receipt of the email, provides the case ID, and explains the process for case review and response timelines.","Caller is informed about the claim process, case ID, and expected response timeline for their case.",,,,,,,,
1159,c2287918.wav,Caller requests a consolidated account statement for March 31st and has not received it by the usual date.,NSE staff checks with the department and confirms the process for obtaining the consolidated statement from the broker or CDSL.,Caller is guided on how to obtain a consolidated account statement and advised to contact the broker or depository.,,,,,,,,
1160,c2287929.wav,Caller seeks clarification on a claim order and bifurcation of amounts related to Farewell Securities default.,"NSE staff explains the claim and inadmissible amounts, the process for expulsion date valuation, and the IPF limit.","Caller is provided a detailed explanation of claim bifurcation, expulsion date valuation, and IPF limits.",,,,,,,,
1161,c2287933.wav,Caller asks about a rejected category change request due to mismatched names on documents.,NSE staff explains the rejection was due to a name mismatch and advises updating the name before resubmitting the request.,Caller is informed that category change requests require matching names on all documents and UCC records.,,,,,,,,
1162,c2287937.wav,Caller follows up on missing fourth quarter results for TCS and other companies on the NSE portal.,NSE staff guides the caller to the integrated filing section and explains how to access the latest results.,Caller is shown how to access integrated filings and financial results for companies on the NSE portal.,,,,,,,,
1163,c2287954.wav,Caller inquires about claiming funds from a defaulted broker and the process for submitting documents.,"NSE staff explains the claim process, required documents, and how to use the NICE Plus portal for trade data requests.",Caller is guided through the claim process for defaulted brokers and the use of the NICE Plus portal.,,,,,,,,
1164,c2287955.wav,Internal call about tea and coffee arrangements and new admin assignments.,Staff discuss changes in admin responsibilities and coordination for refreshments.,Internal staff coordinate on admin assignments and refreshment arrangements.,,,,,,,,
1165,c2287967.wav,Caller receives a message about client funds in MCX community and seeks clarification on charges and account status.,NSE staff explains the alert is broker-related and advises contacting Dhan Holding Stock Broking for details.,Caller is informed that client fund alerts are broker-related and should contact the broker for clarification.,,,,,,,,
1166,c2287980.wav,Internal call about meeting at the canteen and ordering food for staff.,"Staff coordinate on meeting times, food orders, and resolving laptop issues for a colleague.","Internal staff coordinate on meetings, food orders, and technical support for a colleague.",,,,,,,,
1167,c2287991.wav,"Caller expresses concerns about insider trading, market manipulation, and caste-based issues in the share market.",NSE staff listens to the caller's concerns and acknowledges the issues without providing a direct resolution.,Caller voices suspicions about market manipulation; NSE staff acknowledges but does not resolve the issue.,,,,,,,,
1168,c2288011.wav,Internal call about regional office assignments and case updates for Guneswar and Rurkela.,Staff confirm regional assignments and discuss case updates for specific locations.,Internal staff coordinate on regional office assignments and case updates.,,,,,,,,
1169,c2288023.wav,Caller asks about UCC code activation issues due to incorrect PAN date of birth and modification requests.,NSE staff explains the process for updating date of incorporation and advises checking the status after modification.,Caller is guided on correcting UCC code activation issues by updating PAN details and checking status.,,,,,,,,
1170,c2288026.wav,Caller reports being defrauded via Telegram and seeks help recovering funds and understanding NSE's role.,"NSE staff explains NSE has no association with social media groups, advises filing a cybercrime complaint, and provides relevant websites and numbers.",Caller is advised to file a cybercrime complaint and is informed that NSE does not operate via social media.,,,,,,,,
1171,c2288028.wav,"Caller receives ECAS and NSE Alert emails, is confused about account balances, and seeks clarification on mutual fund and Demat account details.","NSE staff explains ECAS is a consolidated account statement, guides the caller to identify the broker, and advises contacting the broker for details.",Caller is guided on understanding ECAS and NSE Alert emails and advised to contact the broker for account details.,,,,,,,,
1172,c2288032.wav,Caller wants to speak to Manish regarding a case with Padam Traverse Security Limited and direct payout issues.,"Staff connect the caller to Manish, who explains the process for validating and deregistering UPI and bank details for payout settlement.",Caller is guided on resolving payout issues by validating and deregistering bank details as per process.,,,,,,,,
1173,c2288041.wav,Caller asks about buying unlisted NSE shares and the process for purchasing through brokers.,"NSE staff explains unlisted shares must be bought from a seller, advises contacting brokers, and clarifies there is no IPO information yet.",Caller is informed about the process for buying unlisted shares and the lack of current IPO information.,,,,,,,,
1174,c2288054.wav,"Internal call about claim status, document requirements, and payment disbursement for a defaulted broker case.","Staff confirm document requirements, payment status, and advise the claimant to provide missing information for processing.","Internal staff coordinate on claim status, document requirements, and payment disbursement for a defaulted broker case.",,,,,,,,
1175,c2288061.wav,"Internal call about regional assignments, case updates, and communication with claimants.","Staff discuss regional assignments, case updates, and the process for communicating with claimants.","Internal staff coordinate on regional assignments, case updates, and claimant communication. 1176",c2288083.wav,Caller receives repeated NSE Alert emails and wants to know their meaning and the system behind them.,NSE staff explains the emails are alerts about the caller's Upstox account and advises contacting the broker for further details.,Caller is informed that repeated NSE Alert emails are informational and should contact Upstox for account specifics.,,,,
1177,c2288087.wav,Caller asks if a number is related to AngelOne and why money is being debited from their account.,"NSE staff explains AngelOne is the broker, advises checking the mail for broker details, and suggests contacting AngelOne to close the account if not needed.",Caller is guided to identify their broker and contact AngelOne for account closure and clarification on debits.,,,,,,,,
1178,c2288099.wav,Caller inquires about a rejected claim against We Rise Securities and seeks clarification on the reason.,"NSE staff explains the claim was inadmissible due to nil position (shares bought and sold), and advises on claim review and documentation.",Caller is informed that claims with nil positions are inadmissible and is advised on the review process.,,,,,,,,
1179,c2288108.wav,Internal follow-up on case status update.,Staff confirm there is no update on the case at this time.,Internal staff provide a status update indicating no new developments.,,,,,,,,
1180,c2288120.wav,Internal discussion about regional assignments and case handling for Meghalaya and Dihar.,Staff coordinate on assigning cases to the appropriate regional representatives.,Internal staff coordinate on regional assignments for case handling.,,,,,,,,
1181,c2288135.wav,Internal call about sending a diary for training and checking if it is empty.,Staff agree to check for an empty diary and coordinate delivery for training purposes.,Internal staff coordinate on providing training materials and diary delivery.,,,,,,,,
1182,c2288141.wav,"Caller follows up on a claim payment of Rs. 72,832 and seeks status after receiving partial payment.","NSE staff checks payment records, confirms previous payments, and advises the caller to provide a bank statement for further investigation.",Caller is advised to provide a bank statement to resolve a discrepancy in claim payments.,,,,,,,,
1183,c2288168.wav,Caller requests status of a case upload and asks about file-based client status upload option.,NSE staff explains the technical issue was resolved and advises clearing cache and cookies before retrying the upload.,Caller is guided to resolve technical issues for file-based client status uploads by clearing browser cache.,,,,,,,,
1184,c2288178.wav,Caller asks about applying for a right issue of Fusion Finance shares through Zerodha and the ASBA process.,"NSE staff explains the process, suggests contacting the company's RTA for the ASBA form, and provides guidance on application steps.",Caller is guided on applying for a right issue via ASBA and advised to contact the company's RTA for the form.,,,,,,,,
1185,c2288182.wav,Internal call about forwarding a case to a team member and requesting a prompt response.,Staff agree to prioritize the case and coordinate communication with the relevant team member.,Internal staff coordinate on prioritizing and responding to a forwarded case.,,,,,,,,
1186,c2288186.wav,Caller asks about selling right issue shares of Fusion Micro Finance and encounters a 'matrix suspended' error.,"NSE staff explains the issue may be due to compliance problems, advises contacting the broker, and suggests the member contact the MSM department.",Caller is informed that right issue shares may be suspended due to compliance issues and is advised to contact the broker and MSM department.,,,,,,,,
1187,c2288197.wav,Internal call about a right issue error and the need for a team member to check the case.,Staff agree to check the case and coordinate with the appropriate team member for resolution.,Internal staff coordinate on resolving a right issue error for a client.,,,,,,,,
1188,c2288211.wav,"Caller reports an active account with inactive bank and DPID, and seeks status after sending a screenshot.",NSE staff confirms receipt of the screenshot and advises the caller to await a team review and response.,Caller is advised to await a team review after submitting documentation for an inactive DPID issue.,,,,,,,,
1189,c2288220.wav,Caller wants to close a trading account with Mirae Asset and is concerned about a negative balance.,"NSE staff explains the closure process, advises contacting the broker, and warns about accumulating charges if the account remains open.",Caller is guided on closing a trading account and warned about ongoing charges for inactive accounts.,,,,,,,,
1190,c2288227.wav,Caller requests to speak to Kunal Dalvi about a CKYC testbed issue for company registration.,NSE staff confirms the case and advises the caller to wait for a response from the UCI department.,Caller is advised to await a response from the UCI department regarding a CKYC testbed issue.,,,,,,,,
1191,c2288242.wav,Caller reports a Demat account not active in UCC despite being active in CDAS and seeks urgent resolution.,NSE staff confirms the issue is under review and promises to call back with a resolution after checking with the concerned department.,Caller is advised the Demat account activation issue is under review and will receive a follow-up call.,,,,,,,,
1192,c2288243.wav,Caller asks why Axis Nifty 500 Momentum 50 Index Fund is not listed on the NSE website despite being available elsewhere.,NSE staff advises the caller to email the webmaster for clarification and confirms the fund is valid despite not being listed.,Caller is advised to email the webmaster for clarification on missing index fund listings on the NSE website.,,,,,,,,
1193,c2288247.wav,Caller wants to update a mobile number for an AngelOne account and is unable to resolve the issue online.,NSE staff advises contacting AngelOne customer care for account updates and provides guidance on finding contact details.,Caller is guided to contact AngelOne customer care for updating account information.,,,,,,,,
1194,c2288259.wav,Caller wants to close a Demat account with Deal Money Securities but the local office is closed and calls go unanswered.,NSE staff advises contacting customer support via the official website and explains that closure formalities are broker-guided.,Caller is advised to use the broker's official website for account closure when local offices are unavailable.,,,,,,,,
1195,c2288267.wav,Caller receives NSE Alert emails about an account with Axis Securities and wants to know the purpose and how to stop them.,NSE staff explains the alerts are for trading accounts and advises contacting Axis Securities to close the account and stop messages.,Caller is informed that NSE Alert emails are for trading accounts and should contact the broker to stop them.,,,,,,,,
1196,c2288277.wav,Caller asks about obtaining an ASBA application form for a right issue and is told to contact the company's RTA.,NSE staff explains how to find the RTA's contact details and advises the caller to request the ASBA form from them.,Caller is guided to contact the company's RTA for the ASBA application form for a right issue.,,,,,,,,
1197,c2288281.wav,Caller reports an F&O position was auto-squared off by Groww and wants to know the NSE rules behind it.,NSE staff advises the caller to request the specific NSE circular from the broker and explains the complaint process via SEBI SCORES.,Caller is advised to request the relevant NSE circular from the broker and to use SEBI SCORES for complaints.,,,,,,,,
1198,c2288287.wav,Caller is concerned about old Demat accounts still showing in contract notes and wants to know how to confirm closures.,NSE staff explains the process for confirming account closures and advises contacting depositories for a list of active accounts.,Caller is guided on confirming Demat account closures and advised to contact depositories for active account lists.,,,,,,,,
1199,c2288293.wav,"Caller receives continuous NSE Alert emails and wants to stop them, unsure about the broker involved.",NSE staff explains the alerts are due to an active account with Axis Securities and advises contacting the broker to close the account.,Caller is informed that continuous NSE Alert emails are due to an active account and should contact the broker to stop them.,,,,,,,,
1200,c2288304.wav,Caller wants to speak to a specific NSE staff member about a complaint and requests direct contact information.,"NSE staff explains the process for contacting staff, provides general contact numbers, and advises on the customer grievance process.",Caller is guided on how to contact NSE staff and use the customer grievance process for complaints. 1201,c2288311.wav,"Caller reports being defrauded via Instagram and Telegram, losing money after sharing account details, and seeks help recovering funds.","NSE staff explains that investments via social media are not authorized, advises filing a cybercrime complaint, and provides the relevant website and helpline number.","Caller is advised to file a cybercrime complaint for funds lost to social media fraud, as NSE does not authorize such investments.",,,,
1202,c2288316.wav,Internal call about following up with a team member regarding a case and waiting for a response.,Staff agree to check with the team member and update once a response is received.,Internal staff coordinate on following up with a team member for a case update.,,,,,,,,
